x,y,gz_obs
-1093.2203389830509,538.4615384615386,0.002833169413009403
-1093.2203389830509,589.7435897435898,0.0037370915544542908
-1093.2203389830509,641.0256410256411,0.0043270531670882685
-1093.2203389830509,692.3076923076924,0.0047587660991014295
-1093.2203389830509,743.5897435897436,0.005374135153215736
-1093.2203389830509,794.8717948717949,0.006458234746031583
-1093.2203389830509,846.1538461538462,0.007903033474992858
-1093.2203389830509,897.4358974358975,0.007646842905803142
-1093.2203389830509,948.7179487179487,0.0064906692752613624
-1093.2203389830509,1000.0,0.0034647288172285004
-1042.3728813559323,-1000.0,0.00373172630010509
-1042.3728813559323,-948.7179487179487,0.006731886063853966
-1042.3728813559323,-897.4358974358975,0.007647916146862339
-1042.3728813559323,-846.1538461538462,0.007884216033388276
-1042.3728813559323,-794.8717948717949,0.006667388384471267
-1042.3728813559323,-743.5897435897436,0.0051371869181699135
-1042.3728813559323,-692.3076923076923,0.004588396791583586
-1042.3728813559323,-641.025641025641,0.003830201087559223
-1042.3728813559323,-589.7435897435897,0.0031222158372674054
-1042.3728813559323,-538.4615384615385,0.0023034194512097732
-1042.3728813559323,-487.1794871794872,0.0018952709020886736
-1042.3728813559323,-435.8974358974359,0.0014955377858290246
-1042.3728813559323,-384.6153846153845,0.0012631097428589854
-1042.3728813559323,-333.33333333333326,0.000808987965521646
-1042.3728813559323,-282.051282051282,0.0007545456379306993
-1042.3728813559323,-230.76923076923072,-6.517071021607669e-05
-1042.3728813559323,-179.48717948717945,8.018451379142003e-05
-1042.3728813559323,-128.20512820512818,-0.00019096931791686325
-1042.3728813559323,-76.9230769230769,0.00012323479750589813
-1042.3728813559323,-25.641025641025635,-0.0005193400022786565
-1042.3728813559323,25.641025641025635,-0.0005256247136437972
-1042.3728813559323,76.9230769230769,-0.00043460431822645246
-1042.3728813559323,128.20512820512818,-0.0006524168639265009
-1042.3728813559323,179.48717948717945,-0.000199430617888841
-1042.3728813559323,230.76923076923094,-6.352772994919154e-05
-1042.3728813559323,282.0512820512822,0.0003539879037236083
-1042.3728813559323,333.3333333333335,0.0006854849954600261
-1042.3728813559323,384.61538461538476,0.0013481151891431406
-1042.3728813559323,435.897435897436,0.001586022895217152
-1042.3728813559323,487.1794871794873,0.001774988136104422
-1042.3728813559323,538.4615384615386,0.002278338473711199
-1042.3728813559323,589.7435897435898,0.0032010644518589205
-1042.3728813559323,641.0256410256411,0.0035636359659987358
-1042.3728813559323,692.3076923076924,0.004909870048392331
-1042.3728813559323,743.5897435897436,0.005453319036691325
-1042.3728813559323,794.8717948717949,0.00643552445570811
-1042.3728813559323,846.1538461538462,0.007461246783150283
-1042.3728813559323,897.4358974358975,0.007940442651386765
-1042.3728813559323,948.7179487179487,0.006402430312202963
-1042.3728813559323,1000.0,0.003875420259651583
-991.5254237288136,-1000.0,0.003299674656876157
-991.5254237288136,-948.7179487179487,0.006272132918470405
-991.5254237288136,-897.4358974358975,0.007451714159384441
-991.5254237288136,-846.1538461538462,0.007202883512262382
-991.5254237288136,-794.8717948717949,0.005939583028744998
-991.5254237288136,-743.5897435897436,0.005055020095589133
-991.5254237288136,-692.3076923076923,0.004026877888898248
-991.5254237288136,-641.025641025641,0.003493164358491683
-991.5254237288136,-589.7435897435897,0.0028415826830364434
-991.5254237288136,-538.4615384615385,0.002291025063925515
-991.5254237288136,-487.1794871794872,0.0017734563845768117
-991.5254237288136,-435.8974358974359,0.0009189554852907033
-991.5254237288136,-384.6153846153845,0.0004189651203243703
-991.5254237288136,-333.33333333333326,0.0006301787612275139
-991.5254237288136,-282.051282051282,0.00015267508213369694
-991.5254237288136,-230.76923076923072,-0.0002944662645133724
-991.5254237288136,-179.48717948717945,-1.3112653308760083e-05
-991.5254237288136,-128.20512820512818,-0.00043050484956140897
-991.5254237288136,-76.9230769230769,-0.0003028846404408949
-991.5254237288136,-25.641025641025635,-0.0005672490562366443
