X(m),Y(m),GravityAnomaly(mGal)
1.379310344827586277e+03,4.482758620689655800e+03,-2.335968551711575802e+00
1.379310344827586277e+03,4.655172413793103260e+03,-7.582499980697806619e-01
1.379310344827586277e+03,4.827586206896551630e+03,-1.300719372472460278e-01
1.379310344827586277e+03,5.000000000000000000e+03,-1.003212437965074200e-01
1.551724137931034647e+03,0.000000000000000000e+00,-1.412007541168490143e-01
1.551724137931034647e+03,1.724137931034482847e+02,-1.259207448847141086e-01
1.551724137931034647e+03,3.448275862068965694e+02,-1.644191244655343054e+00
1.551724137931034647e+03,5.172413793103448825e+02,-2.918339748089869623e+00
1.551724137931034647e+03,6.896551724137931387e+02,-4.005917747937831841e+00
1.551724137931034647e+03,8.620689655172413950e+02,-4.946590167244087510e+00
1.551724137931034647e+03,1.034482758620689765e+03,-5.731483759762236119e+00
1.551724137931034647e+03,1.206896551724137908e+03,-6.264841287946968151e+00
1.551724137931034647e+03,1.379310344827586277e+03,-6.816692868058954247e+00
1.551724137931034647e+03,1.551724137931034647e+03,-7.086167979680724649e+00
1.551724137931034647e+03,1.724137931034482790e+03,-7.340003597093356369e+00
1.551724137931034647e+03,1.896551724137931160e+03,-7.518058801083131293e+00
1.551724137931034647e+03,2.068965517241379530e+03,-7.697758969893036429e+00
1.551724137931034647e+03,2.241379310344827900e+03,-7.691128566486451490e+00
1.551724137931034647e+03,2.413793103448275815e+03,-7.715133005684831069e+00
1.551724137931034647e+03,2.586206896551724185e+03,-7.697097291737822644e+00
1.551724137931034647e+03,2.758620689655172555e+03,-7.662708918717848761e+00
1.551724137931034647e+03,2.931034482758620925e+03,-7.616503744595570780e+00
1.551724137931034647e+03,3.103448275862069295e+03,-7.562806343396272446e+00
1.551724137931034647e+03,3.275862068965517210e+03,-7.347652349951920847e+00
1.551724137931034647e+03,3.448275862068965580e+03,-7.072381922654199293e+00
1.551724137931034647e+03,3.620689655172413950e+03,-6.752694709530975281e+00
1.551724137931034647e+03,3.793103448275862320e+03,-6.322933960793606367e+00
1.551724137931034647e+03,3.965517241379310690e+03,-5.758089988691001082e+00
1.551724137931034647e+03,4.137931034482759060e+03,-4.976700796492496970e+00
1.551724137931034647e+03,4.310344827586207430e+03,-4.010574968186747746e+00
